# Matter power spectrum P(k) at redshift z=0
# for k=1.04914e-05 to 106.158 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049138297417e-05       5.186354503810e+01 
       2.342396053991e-05       1.123038794638e+02 
       3.640238139057e-05       1.716172547216e+02 
       4.946184620543e-05       2.304713146276e+02 
       6.263814250981e-05       2.892423262758e+02 
       7.596796633553e-05       3.482101119530e+02 
       8.948925424533e-05       4.076125740123e+02 
       1.032415301701e-04       4.676679847612e+02 
       1.172662715409e-04       5.285863682125e+02 
       1.316072992332e-04       5.905763489301e+02 
       1.463111958425e-04       6.538498955142e+02 
       1.614277567488e-04       7.186259761761e+02 
       1.770104782357e-04       7.851336626644e+02 
       1.931170865379e-04       8.536149602377e+02 
       2.098101109954e-04       9.243274996817e+02 
       2.271575033589e-04       9.975471951636e+02 
       2.452333035307e-04       1.073570900408e+03 
       2.641183494231e-04       1.152719074198e+03 
       2.839010248726e-04       1.235338461353e+03 
       3.046780343244e-04       1.321804696613e+03 
       3.265551858987e-04       1.412524802683e+03 
       3.496481550454e-04       1.507939397294e+03 
       3.740831889124e-04       1.608524488923e+03 
       3.999976965230e-04       1.714792576492e+03 
       4.275406519614e-04       1.827292768294e+03 
       4.568727175934e-04       1.946609553484e+03 
       4.881659734104e-04       2.073359696408e+03 
       5.216031196660e-04       2.208186893825e+03 
       5.573760075072e-04       2.351753498754e+03 
       5.956833525744e-04       2.504728924049e+03 
       6.367275073307e-04       2.667774395700e+03 
       6.807102174187e-04       2.841523821677e+03 
       7.278273719295e-04       3.026561178117e+03 
       7.782628781657e-04       3.223395076866e+03 
       8.321819400446e-04       3.432432015231e+03 
       8.897241753011e-04       3.653950110599e+03 
       9.509971377943e-04       3.888075815372e+03 
       1.016070878988e-03       4.134766196267e+03 
       1.084974153626e-03       4.393798979084e+03 
       1.157692734244e-03       4.664772142669e+03 
       1.234170062234e-03       4.947113375307e+03 
       1.314310174133e-03       5.240099161855e+03 
       1.397982562938e-03       5.542851521848e+03 
       1.485028425227e-03       5.854440101332e+03 
       1.575267643511e-03       6.173873632463e+03 
       1.668505865696e-03       6.500117293087e+03 
       1.764541147006e-03       6.832134379847e+03 
       1.863169775457e-03       7.168910032596e+03 
       1.964191069376e-03       7.509469693932e+03 
